97,247,berkelium,Bk,44,66,49,1259.15,983,false
98,251,californium,Cf,175,182,16,1925.15,1173,false
99,252,einsteinium,Es,192,210,95,1133.15,1234,false
100,257,fermium,Fm,74,226,83,1527,2000,false
101,258,mendelevium,Md,175,176,249,1100,4129,false
102,259,nobelium,No,94,44,52,1100,1533,false
103,262,lawrencium,Lr,216,45,92,1100,4753,false
104,261,rutherfordium,Rf,240,61,22,1100,1421,false
105,262,dubnium,Db,11,112,108,1100,1231,false
106,266,seaborgium,Sg,158,49,74,1100,513,false
107,264,bohrium,Bh,166,251,51,1100,1422,false
108,267,hassium,Hs,78,5,51,1100,4121,false
109,268,meitnerium,Mt,169,138,37,1100,1424,false
110,271,darmstadtium,Ds,14,144,190,1100,5245,false
111,272,roentgenium,Rg,150,90,90,1100,6567,false
112,285,copernicium,Cn,160,40,240,1100,4564,false
113,284,nihonium,Nh,220,250,180,1100,9874,false
114,289,flerovium,Fl,200,180,254,1100,2345,false
115,288,moscovium,Mc,250,180,200,1100,6324,false
116,292,livermorium,Lv,250,250,200,1100,1345,false
117,295,tennessine,Ts,150,250,250,1100,8658,true
118,294,oganesson,Og,250,150,250,1100,2535,true
